vx,vy,vz,xpos0,ypos0,photons0,xpos1,ypos1,photons1
-13.6314,0,-2.22398,-25,0,92,25,0,31
-5.33318,0,7.9002,-25,0,239,25,0,162
3.50728,0,-0.652936,-25,0,190,25,0,215
-17.8092,0,-0.513624,-25,0,4,25,0,4
-19.8932,0,2.37477,-99.9,-99.9,-1,25,0,1
-7.92821,0,2.31432,-99.9,-99.9,-1,-99.9,-99.9,-1
3.74473,0,7.46734,-25,0,32,25,0,28
6.81155,0,3.51927,-25,0,111,25,0,190
-15.4522,0,-3.83079,-25,0,30,25,0,13
19.5257,0,-3.52736,-25,0,1,25,0,1
-12.6721,0,9.17652,-25,0,226,25,0,151
-12.0524,0,-4.34975,-25,0,667,25,0,599
-11.4702,0,-1.81875,-25,0,328,25,0,200
7.40611,0,-7.05739,-25,0,446,25,0,508
11.2935,0,7.42142,-25,0,44,25,0,63
3.77129,0,6.58104,-99.9,-99.9,-1,25,0,2
-7.8585,0,1.07077,-25,0,53,25,0,47
-8.64409,0,1.68624,-25,0,208,25,0,172
-9.4433,0,1.7656,-25,0,1,-99.9,-99.9,-1
-11.8542,0,-8.10609,-25,0,1,-99.9,-99.9,-1
21.391,0,-4.12281,-25,0,244,25,0,296
-1.73145,0,5.54684,-25,0,273,25,0,270
3.05063,0,-4.55831,-25,0,453,25,0,493
-14.5745,0,9.14494,-25,0,149,25,0,80
19.0176,0,3.77848,-25,0,42,25,0,157
-15.7573,0,7.60696,-99.9,-99.9,-1,-99.9,-99.9,-1
9.51836,0,6.76196,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.5341,0,-0.75289,-25,0,2625,25,0,1053
19.0644,0,-8.63589,-25,0,97,25,0,306
-7.6347,0,9.66569,-25,0,103,25,0,63
-16.2837,0,-2.28458,-25,0,369,25,0,134
-4.63327,0,4.79493,-99.9,-99.9,-1,-99.9,-99.9,-1
2.21775,0,-3.86481,-99.9,-99.9,-1,-99.9,-99.9,-1
8.02514,0,4.97274,-99.9,-99.9,-1,-99.9,-99.9,-1
-9.67061,0,8.36842,-25,0,363,25,0,234
-0.0442364,0,-7.48493,-25,0,24,25,0,17
-5.72185,0,-5.48848,-99.9,-99.9,-1,-99.9,-99.9,-1
-4.93953,0,1.44906,-25,0,8,25,0,21
19.1469,0,7.53868,-25,0,2,25,0,3
3.59498,0,-1.62398,-25,0,11,25,0,3
7.60827,0,-1.69351,-25,0,350,25,0,389
12.5896,0,-0.191595,-99.9,-99.9,-1,-99.9,-99.9,-1
6.12119,0,3.22109,-25,0,57,25,0,65
9.732,0,2.73265,-25,0,93,25,0,159
-15.7997,0,2.74904,-99.9,-99.9,-1,-99.9,-99.9,-1
9.00421,0,-7.38463,-25,0,184,25,0,246
-15.4044,0,-8.01541,-25,0,2,25,0,2
10.4449,0,7.74977,-25,0,62,25,0,114
1.49616,0,-4.27271,-25,0,761,25,0,780
11.9446,0,-0.896491,-25,0,5,25,0,7
13.0665,0,-9.55917,-25,0,32,25,0,63
-16.3367,0,0.518088,-25,0,2,-99.9,-99.9,-1
5.7374,0,-5.39291,-25,0,103,25,0,119
11.3593,0,3.72235,-25,0,42,25,0,61
10.8468,0,0.709293,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.79501,0,9.27327,-25,0,28,25,0,23
-16.9658,0,-6.49734,-25,0,1,-99.9,-99.9,-1
6.57055,0,-9.11516,-25,0,75,25,0,113
-4.36842,0,-1.3677,-25,0,2,25,0,1
19.5611,0,-0.656509,-99.9,-99.9,-1,25,0,1
7.08762,0,7.76845,-25,0,40,25,0,77
-14.6629,0,8.84574,-25,0,45,25,0,24
-5.52027,0,0.370835,-25,0,157,25,0,127
-19.9725,0,0.48,-99.9,-99.9,-1,-99.9,-99.9,-1
7.68873,0,3.42789,-25,0,57,25,0,73
5.03484,0,5.87753,-25,0,8,25,0,5
-16.2028,0,8.17158,-99.9,-99.9,-1,-99.9,-99.9,-1
19.9622,0,-8.8277,-25,0,36,25,0,113
-6.94836,0,4.53411,-25,0,57,25,0,49
-11.522,0,3.74637,-25,0,417,25,0,220
-19.1985,0,8.28641,-25,0,1,25,0,1
1.225,0,5.52529,-25,0,338,25,0,338
-1.78195,0,-0.852561,-25,0,55,25,0,55
-4.90984,0,9.31218,-25,0,95,25,0,76
11.4648,0,-3.70002,-25,0,269,25,0,491
6.07484,0,0.343122,-99.9,-99.9,-1,-99.9,-99.9,-1
6.52583,0,-2.14524,-25,0,1,-99.9,-99.9,-1
10.201,0,-0.83985,-25,0,2,25,0,1
-5.23802,0,-9.28456,-25,0,1,-99.9,-99.9,-1
-21.9866,0,7.30223,-25,0,2,-99.9,-99.9,-1
19.1435,0,0.463111,-25,0,26,25,0,132
-5.22177,0,-8.52907,-25,0,180,25,0,133
20.8494,0,-6.51632,-25,0,1437,25,0,3540
-9.85199,0,9.93628,-25,0,19,25,0,22
14.8599,0,1.00227,-25,0,278,25,0,612
-0.270572,0,2.21368,-99.9,-99.9,-1,25,0,1
10.5916,0,2.05216,-25,0,1,-99.9,-99.9,-1
-17.7096,0,0.0853426,-99.9,-99.9,-1,-99.9,-99.9,-1
-10.3945,0,-7.02126,-99.9,-99.9,-1,-99.9,-99.9,-1
9.93815,0,1.89766,-99.9,-99.9,-1,-99.9,-99.9,-1
18.741,0,2.19272,-99.9,-99.9,-1,-99.9,-99.9,-1
4.08534,0,3.70598,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.6064,0,-0.453823,-25,0,224,25,0,78
-7.31913,0,4.81664,-99.9,-99.9,-1,-99.9,-99.9,-1
-16.66,0,-1.53702,-25,0,1,-99.9,-99.9,-1
8.30908,0,-6.2038,-99.9,-99.9,-1,25,0,2
14.9681,0,-3.44674,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.8897,0,-9.61848,-25,0,3,25,0,3
9.48594,0,-8.02794,-25,0,24,25,0,27
-1.28682,0,-7.14685,-25,0,1,25,0,6
-17.2782,0,7.23661,-25,0,15,25,0,5
-21.1264,0,-7.02985,-25,0,1,25,0,3
-10.339,0,1.56661,-25,0,2,-99.9,-99.9,-1
11.4804,0,-1.89863,-25,0,179,25,0,288
-9.88697,0,-7.71145,-99.9,-99.9,-1,-99.9,-99.9,-1
6.20416,0,-0.965669,-25,0,222,25,0,246
-20.4361,0,3.84691,-25,0,295,25,0,85
-10.8391,0,-5.0245,-25,0,370,25,0,231
6.1572,0,-3.21077,-25,0,56,25,0,73
11.4154,0,6.07162,-25,0,10,25,0,22
-10.0885,0,-4.56103,-25,0,778,25,0,603
5.96692,0,-5.75781,-25,0,643,25,0,752
10.0892,0,2.78657,-25,0,286,25,0,388
-4.45451,0,-7.73532,-25,0,754,25,0,796
-16.2249,0,7.38061,-25,0,2,25,0,2
-9.98655,0,6.86249,-25,0,11,25,0,11
3.40662,0,2.74314,-25,0,755,25,0,778
16.7492,0,-0.942169,-25,0,166,25,0,352
-16.6635,0,3.88983,-25,0,597,25,0,240
3.77683,0,-1.82134,-25,0,3,25,0,1
-1.75338,0,-6.58351,-99.9,-99.9,-1,25,0,1
6.98635,0,8.79073,-25,0,55,25,0,73
-17.7388,0,8.29932,-25,0,1,-99.9,-99.9,-1
16.8445,0,5.25871,-25,0,1,-99.9,-99.9,-1
-14.9354,0,-0.137777,-99.9,-99.9,-1,-99.9,-99.9,-1
-13.8599,0,-8.2337,-25,0,2,25,0,1
-21.5858,0,-6.34782,-25,0,1683,25,0,530
17.8147,0,8.31739,-25,0,92,25,0,213
-18.8104,0,7.89186,-25,0,6,25,0,1
20.6759,0,2.31437,-25,0,54,25,0,175
-19.0419,0,2.86298,-25,0,425,25,0,172
-15.767,0,-1.53274,-25,0,2,25,0,1
14.1063,0,-0.696375,-99.9,-99.9,-1,25,0,1
-0.323996,0,-4.22108,-25,0,217,25,0,189
-17.9395,0,-8.96677,-99.9,-99.9,-1,-99.9,-99.9,-1
-2.55502,0,-9.64508,-25,0,260,25,0,239
-7.38863,0,7.99113,-99.9,-99.9,-1,-99.9,-99.9,-1
3.28326,0,-7.37623,-25,0,295,25,0,340
20.1012,0,8.90844,-25,0,2,25,0,4
-10.3306,0,0.00367679,-25,0,186,25,0,129
2.16824,0,-2.42267,-99.9,-99.9,-1,-99.9,-99.9,-1
19.689,0,-8.48409,-25,0,12,25,0,41
4.03627,0,-9.30768,-25,0,374,25,0,495
-18.5179,0,-2.07952,-25,0,42,25,0,9
7.6884,0,6.73767,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.761,0,-8.27609,-25,0,138,25,0,90
-0.746578,0,6.87093,-25,0,56,25,0,69
-11.2545,0,-5.43005,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.40159,0,-7.82736,-99.9,-99.9,-1,-99.9,-99.9,-1
-19.1912,0,-4.7124,-25,0,476,25,0,168
11.7877,0,6.90712,-25,0,1,25,0,1
1.31642,0,-2.17104,-25,0,191,25,0,208
-11.3052,0,7.75658,-25,0,5,25,0,6
10.3252,0,-4.79167,-99.9,-99.9,-1,25,0,1
-5.63432,0,-0.245841,-25,0,19,25,0,12
-4.96182,0,6.78571,-25,0,135,25,0,148
2.06787,0,7.06632,-99.9,-99.9,-1,-99.9,-99.9,-1
-7.64654,0,2.52842,-25,0,117,25,0,85
-13.342,0,6.93838,-25,0,237,25,0,151
-3.66308,0,-1.40403,-99.9,-99.9,-1,-99.9,-99.9,-1
-8.92178,0,-7.88158,-25,0,8,25,0,7
-7.53098,0,-0.459969,-25,0,1,-99.9,-99.9,-1
-15.7275,0,-2.65879,-25,0,1,-99.9,-99.9,-1
-5.77686,0,7.17735,-25,0,70,25,0,52
-13.6694,0,6.92923,-25,0,206,25,0,117
-8.48968,0,4.65902,-25,0,327,25,0,232
-1.82276,0,-8.86248,-25,0,44,25,0,30
-0.990084,0,2.93759,-25,0,27,25,0,36
-0.0578349,0,9.62868,-25,0,280,25,0,262
13.6209,0,7.39327,-25,0,18,25,0,40
-13.9528,0,-2.42672,-25,0,386,25,0,172
-4.01984,0,-8.74641,-25,0,1271,25,0,970
10.7696,0,0.434715,-99.9,-99.9,-1,25,0,2
-20.3567,0,-0.741849,-99.9,-99.9,-1,-99.9,-99.9,-1
-15.3009,0,4.21025,-25,0,1,-99.9,-99.9,-1
10.9094,0,-9.85734,-25,0,208,25,0,389
-2.73721,0,6.75256,-25,0,2,-99.9,-99.9,-1
18.0565,0,-1.64578,-99.9,-99.9,-1,-99.9,-99.9,-1
0.771656,0,-3.51446,-25,0,94,25,0,97
21.7566,0,-7.57162,-99.9,-99.9,-1,25,0,2
-1.37896,0,3.68713,-25,0,314,25,0,218
12.1677,0,1.21712,-25,0,1,-99.9,-99.9,-1
20.9561,0,-0.914863,-25,0,244,25,0,1003
-9.66995,0,-9.56146,-25,0,904,25,0,526
-13.7675,0,5.91809,-25,0,2,-99.9,-99.9,-1
16.341,0,-5.34221,-25,0,2160,25,0,4249
1.46864,0,1.19121,-25,0,13,25,0,16
-9.78578,0,8.12145,-25,0,95,25,0,56
-1.13489,0,-3.40087,-25,0,485,25,0,365
12.4844,0,2.16574,-25,0,40,25,0,60
2.5183,0,1.27883,-25,0,3,-99.9,-99.9,-1
-10.5065,0,-3.54469,-25,0,15,25,0,12
16.1371,0,6.82687,-25,0,176,25,0,339
-16.4128,0,-5.8433,-99.9,-99.9,-1,-99.9,-99.9,-1
8.43916,0,-7.11781,-25,0,8,25,0,13
-3.79505,0,5.28535,-25,0,8,25,0,10
-16.9327,0,-4.31101,-99.9,-99.9,-1,-99.9,-99.9,-1
-11.7191,0,-1.77104,-99.9,-99.9,-1,25,0,1
-16.1338,0,8.95653,-25,0,1,-99.9,-99.9,-1
-2.38145,0,-1.74139,-99.9,-99.9,-1,-99.9,-99.9,-1
-6.81806,0,-6.92409,-99.9,-99.9,-1,25,0,1
21.3416,0,1.08573,-25,0,241,25,0,977
8.37036,0,8.21055,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.0743,0,3.36914,-25,0,453,25,0,87
20.727,0,0.924969,-25,0,37,25,0,94
-16.1628,0,1.03059,-25,0,1427,25,0,350
17.0588,0,7.0369,-25,0,34,25,0,89
20.7009,0,0.272235,-25,0,33,25,0,78
-19.7266,0,9.96938,-99.9,-99.9,-1,25,0,2
-6.37391,0,-5.03464,-25,0,24,25,0,19
6.92876,0,-8.92115,-25,0,12,25,0,18
-5.34943,0,-7.27867,-99.9,-99.9,-1,-99.9,-99.9,-1
-20.1647,0,-3.76342,-25,0,480,25,0,138
10.9487,0,-8.55067,-25,0,108,25,0,79
-4.42536,0,-4.18865,-25,0,67,25,0,45
3.90186,0,-1.04594,-25,0,1,25,0,1
-18.1634,0,-5.36674,-25,0,44,25,0,13
19.913,0,7.94816,-25,0,190,25,0,708
9.96284,0,5.88479,-25,0,64,25,0,90
2.52099,0,3.45963,-25,0,241,25,0,300
20.6466,0,-6.59132,-25,0,1,-99.9,-99.9,-1
11.0126,0,-9.75279,-25,0,471,25,0,827
12.4119,0,7.68526,-25,0,64,25,0,134
16.1668,0,9.57229,-25,0,71,25,0,141
2.2641,0,8.4263,-25,0,109,25,0,141
12.7632,0,-8.69238,-99.9,-99.9,-1,25,0,1
-16.3531,0,4.83771,-25,0,1,-99.9,-99.9,-1
-6.83707,0,4.36936,-25,0,371,25,0,222
-20.1066,0,-1.30947,-25,0,164,25,0,43
-16.836,0,0.648916,-25,0,1,-99.9,-99.9,-1
15.7398,0,5.47461,-25,0,87,25,0,177
20.8986,0,9.08851,-25,0,1,-99.9,-99.9,-1
-3.98165,0,6.89216,-25,0,47,25,0,64
3.51608,0,-4.45916,-99.9,-99.9,-1,-99.9,-99.9,-1
4.07257,0,-2.96835,-25,0,240,25,0,233
2.56154,0,-5.08313,-25,0,6,25,0,3
10.846,0,2.45079,-25,0,1257,25,0,1845
-11.7319,0,-3.69248,-99.9,-99.9,-1,-99.9,-99.9,-1
-19.8519,0,-1.45692,-25,0,2139,25,0,1122
7.94244,0,-4.10111,-99.9,-99.9,-1,25,0,1
17.6084,0,6.42132,-99.9,-99.9,-1,25,0,1
-4.56595,0,-2.77851,-25,0,995,25,0,881
-21.9095,0,9.93569,-25,0,1,-99.9,-99.9,-1
-6.33934,0,2.74081,-25,0,42,25,0,42
-7.4179,0,-8.85159,-25,0,730,25,0,520
-8.02665,0,-2.97836,-99.9,-99.9,-1,25,0,1
14.7508,0,-1.22665,-25,0,28,25,0,53
1.41571,0,-0.870892,-25,0,538,25,0,522
10.7828,0,1.00416,-25,0,820,25,0,1634
11.2891,0,-6.24681,-25,0,27,25,0,47
-2.3259,0,-4.25653,-25,0,140,25,0,114
-13.0416,0,6.14471,-99.9,-99.9,-1,25,0,1
12.2324,0,9.27186,-99.9,-99.9,-1,25,0,1
16.7321,0,6.12495,-25,0,109,25,0,217
10.2005,0,-7.72722,-25,0,810,25,0,2264
16.0365,0,9.08897,-25,0,1,25,0,1
0.921539,0,-1.56315,-25,0,158,25,0,160
-18.7423,0,4.48469,-25,0,138,25,0,51
0.0388026,0,3.37093,-25,0,676,25,0,513
14.6223,0,-8.65427,-25,0,285,25,0,603
-20.964,0,8.00867,-99.9,-99.9,-1,-99.9,-99.9,-1
2.25064,0,-4.04036,-25,0,329,25,0,250
8.86882,0,-5.16244,-25,0,293,25,0,456
-2.55206,0,-5.46552,-25,0,14,25,0,7
